의료기관명,설립구분,주소,전화번호,팩스번호,병상수,비고
사회복지법인 금성복지재단 보광노인전문병원,사회복지법인,대전광역시 동구 산내로560번길 18-11 (상소동),042-274-6700, 042-274-6679 ,157,
의료법인 남영의료재단  남영노인전문병원,의료법인,대전광역시 동구 태전로 39 (정동),042-254-7582, 042-254-7599 ,189,
행복한시니어스요양병원,개인,대전광역시 중구 보문산로 359 (문화동),042-253-5800, 042-253-9501 ,177,
대전광역시립제1노인전문병원,공립(시도립),대전광역시 유성구 유성대로 1422 (방현동),042-280-5000, 042-280-5001 ,200,
의료법인비에스의료재단 브레인요양병원,의료법인,대전광역시 유성구 도안대로567번길 26(봉명동),042-365-0101, 042-365-0104 ,249,
세민요양병원,개인,대전광역시 서구 유등로 491 (용문동),042-537-7200, 042-538-9701 ,199,
의료법인 산수의료재단 웰시티요양병원,의료법인,대전광역시 중구 대종로 400 (대흥동),042-256-1177, 042-256-6782 ,346,
대전기독요양병원,개인,대전광역시 동구 계족로 189 (대동),042-670-1200, 042-670-1204 ,170,
한남요양병원,개인,대전광역시 대덕구 한밭대로 1150 (중리동),042-624-1190, 042-628-7556 ,155,
의료법인 세명의료재단 세명요양병원,의료법인,대전광역시 중구 대종로 599 (선화동),042-252-8275, 042-255-8575 ,210,
의료법인고려의료재단 새생명요양병원,의료법인,대전광역시 서구 동서대로 1147 (가장동),042-534-0875, 042-536-0815 ,140,
대전연세요양병원,개인,대전광역시 유성구 한밭대로492번길 26-30 (봉명동),042-826-2772, 042-823-1173 ,222,
의료법인 한일의료재단 패밀리요양병원,의료법인,대전광역시 중구 중교로 39 (대흥동),042-242-0875, 042-242-0870 ,117,
사회복지법인성화 대전재활전문병원,사회복지법인,대전광역시 유성구 문화원로146번길 7-24 (봉명동),042-717-7575, 042-717-7500 ,179,장애인의료재활
의료법인 참사랑의료재단 대전참사랑요양병원,의료법인,대전광역시 서구 계룡로491번길 8 (둔산동),042-478-9914, 042-478-9922 ,134,
의료법인 리노의료재단 유성웰니스 재활전문병원,의료법인,대전광역시 유성구 온천동로 3 (봉명동),042-824-6900, 042-824-6914 ,219,
의료법인 원전의료재단보니파시오요양병원,의료법인,대전광역시 대덕구 덕암로 225 (덕암동),042-717-1000, 042-931-9971 ,249,
의료법인대전세진의료재단 은혜요양병원,의료법인,대전광역시 중구 계룡로 943 (대사동),042-224-9999, 042-224-1400 ,132,
의료법인 선사인혜요양병원,의료법인,대전광역시 서구 대덕대로317번길 26 (월평동),042-472-0129, 042-472-5344 ,122,
테크노요양병원,개인,대전광역시 유성구 테크노7로 31 (용산동),042-671-5300, 042-671-5303 ,130,
홍제요양병원,개인,대전광역시 대덕구 동서대로 1805 (송촌동),042-626-9100, 042-624-9112 ,86,
의료법인 지덕사의료재단 양녕요양병원,의료법인,대전광역시 서구 신갈마로 126 (갈마동),042-528-0001, 042-528-0019 ,182,
