의료기관명,설립구분,주소,전화번호,팩스번호,병상수,비  고
사회복지법인천성원 대전한일병원,사회복지법인,대전광역시 대덕구 대화1길 2 (대화동),042-620-8114,042-632-3002,192,정신
의료법인 성전의료재단 대전신생병원,의료법인,대전광역시 유성구 진잠옛로135번길 87 (학하동),042-823-4401,,350,정신/휴업
의료법인 의명의료재단 대전병원,의료법인,대전광역시 대덕구 대전로 1215 (오정동),042-625-0700,,110,
이안과병원,의료법인,대전광역시 중구 대종로 468 (대흥동),042-220-5500,042-253-8800,30,
대전광역시립정신병원,공립(시도립),대전광역시 유성구 진잠옛로135번길 87 (학하동),042-823-9101,042-823-9101,199,정신
연합정형외과병원,개인,대전광역시 서구 계룡로 619 (탄방동),042-536-0911,042-536-0522,78,
사회복지법인천성원신탄진한일병원,사회복지법인,대전광역시 대덕구 신탄진로 623 (상서동),042-930-0300,042-930-0500,202,
사회복지법인한마음 한마음정신병원,사회복지법인,대전광역시 서구 삼보실길 123 (장안동),042-582-9700,042-582-9700,413,정신
국군대전병원,군병원,대전광역시 유성구 자운로 90 (자운동),042-878-4256,042-861-8188,449,
사회복지법인 성신원 동대전정신병원,사회복지법인,대전광역시 동구 옥천로 315 (삼정동),042-272-8882,042-272-8882,140,정신
미래여성병원,개인,대전광역시 서구 대덕대로176번길 15 (둔산동),042-471-7100,042-471-7100,127,
세우리병원,개인,대전광역시 서구 둔산북로 36 (둔산동),042-478-8000,042-478-8000,147,
조이병원,개인,대전광역시 서구 계룡로553번길 18 (탄방동),042-485-2235,042-484-1144,54,
대전우리병원,개인,대전광역시 서구 문정로48번길 70 (탄방동),042-1577-0052,042-478-9114,149,
허리사랑병원,개인,대전광역시 서구 계룡로 618 (괴정동),042-528-7588,042-523-2938,64,
참다남병원,개인,대전광역시 중구 보문로 254 (대흥동),042-222-0122,042-222-0176,105,
미즈여성병원,개인,대전광역시 서구 문정로2번길 95 (탄방동),042-483-3575,042-483-3575,55,
에스앤케이병원,개인,대전광역시 서구 둔산남로 46 (둔산동),042-476-9000,042-476-9022,77,
의료법인 미래의료재단  대전하나병원,의료법인,대전광역시 중구 계룡로 934 (대사동),042-224-7575,,96,휴업
