의료기관명,설립구분,주소,전화번호,팩스번호,병상수,비  고
서울치과병원,개인,대전광역시 동구 동서대로 1641 (용전동),042-622-2275, 042-632-2275 ,,
이엘치과병원,개인,대전광역시 대덕구 신탄진로 782 (신탄진동),042-717-2872, 042-717-2899 ,6,
학교법인 원광학원 원광대학교치과대학 대전치과병원,학교법인,대전광역시 서구 둔산로 77 (둔산동),042-386-1114, 042-366-1115 ,11,
에이스마일치과병원,개인,"대전광역시 유성구 반석로 24, 2,3층 (반석동)",042-826-2882, 042-826-2882 ,,
국군대전치과병원,군병원,대전광역시 유성구 자운로 90 (자운동),042-878-4256, 042-861-8188 ,17,
의료법인 영훈의료재단 선치과병원,의료법인,대전광역시 중구 대종로 645 (중촌동),042-257-2288, 042-256-2097 ,5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,042-823-1785,,,
